threshold,precision,recall
inf,1.0,0.0
2.009077,1.0,0.0007462686567164179
1.978348,1.0,0.0014925373134328358
1.940624,1.0,0.002238805970149254
1.915351,1.0,0.0029850746268656717
1.905506,1.0,0.0037313432835820895
1.882428,1.0,0.004477611940298508
1.864298,1.0,0.0052238805970149255
1.841303,1.0,0.005970149253731343
1.833441,1.0,0.006716417910447761
1.8171,1.0,0.007462686567164179
1.816674,1.0,0.008208955223880597
1.815625,1.0,0.008955223880597015
1.812773,1.0,0.009701492537313432
1.806228,1.0,0.010447761194029851
1.801771,1.0,0.011194029850746268
1.799968,1.0,0.011940298507462687
1.796334,1.0,0.012686567164179104
1.789431,1.0,0.013432835820895522
1.785265,1.0,0.014179104477611941
1.779834,1.0,0.014925373134328358
1.774002,1.0,0.015671641791044775
1.773866,1.0,0.016417910447761194
1.763484,1.0,0.017164179104477612
1.7479,1.0,0.01791044776119403
1.746255,1.0,0.018656716417910446
1.745635,1.0,0.019402985074626865
1.741785,1.0,0.020149253731343283
1.740653,1.0,0.020895522388059702
1.733184,1.0,0.02164179104477612
1.729555,1.0,0.022388059701492536
1.723591,1.0,0.023134328358208955
1.721781,1.0,0.023880597014925373
1.713381,1.0,0.024626865671641792
1.712467,1.0,0.025373134328358207
1.711356,1.0,0.026119402985074626
1.709466,1.0,0.026865671641791045
1.700791,1.0,0.027611940298507463
1.685357,1.0,0.028358208955223882
1.684298,1.0,0.029104477611940297
1.682626,1.0,0.029850746268656716
1.676912,1.0,0.030597014925373135
1.674059,1.0,0.03134328358208955
1.674041,1.0,0.03208955223880597
1.666897,1.0,0.03283582089552239
1.664406,1.0,0.033582089552238806
1.661348,1.0,0.034328358208955224
1.661085,1.0,0.03507462686567164
1.659773,1.0,0.03582089552238806
1.65662,1.0,0.03656716417910448
1.651009,1.0,0.03731343283582089
1.650963,1.0,0.03805970149253731
1.648997,1.0,0.03880597014925373
1.64829,1.0,0.03955223880597015
1.645775,1.0,0.04029850746268657
1.645636,1.0,0.041044776119402986
1.645466,1.0,0.041791044776119404
1.641113,1.0,0.04253731343283582
1.640582,1.0,0.04328358208955224
1.632984,1.0,0.04402985074626865
1.632357,1.0,0.04477611940298507
1.631249,1.0,0.04552238805970149
1.630137,1.0,0.04626865671641791
1.629287,1.0,0.04701492537313433
1.624332,1.0,0.04776119402985075
1.622422,1.0,0.048507462686567165
1.620655,1.0,0.049253731343283584
1.620399,1.0,0.05
1.619606,1.0,0.050746268656716415
1.618693,1.0,0.05149253731343283
1.618558,1.0,0.05223880597014925
1.615427,1.0,0.05298507462686567
1.614042,1.0,0.05373134328358209
1.612866,1.0,0.05447761194029851
1.611706,1.0,0.05522388059701493
1.606647,1.0,0.055970149253731345
1.604995,1.0,0.056716417910447764
1.604224,1.0,0.057462686567164176
1.604154,1.0,0.058208955223880594
1.601701,1.0,0.05895522388059701
1.601419,1.0,0.05970149253731343
1.600675,1.0,0.06044776119402985
1.600221,1.0,0.06119402985074627
1.599849,1.0,0.06194029850746269
1.593786,1.0,0.0626865671641791
1.593677,1.0,0.06343283582089553
1.592103,1.0,0.06417910447761194
1.591841,1.0,0.06492537313432836
1.587664,1.0,0.06567164179104477
1.586063,1.0,0.0664179104477612
1.581234,1.0,0.06716417910447761
1.581031,1.0,0.06791044776119402
1.580404,1.0,0.06865671641791045
1.578209,1.0,0.06940298507462686
1.57701,1.0,0.07014925373134329
1.575873,1.0,0.0708955223880597
1.575741,1.0,0.07164179104477612
1.573931,1.0,0.07238805970149254
1.570419,1.0,0.07313432835820896
1.570124,1.0,0.07388059701492537
1.569812,1.0,0.07462686567164178
1.567405,1.0,0.07537313432835821
1.566436,1.0,0.07611940298507462
1.565323,1.0,0.07686567164179105
1.564647,1.0,0.07761194029850746
1.563859,0.9905660377358491,0.07835820895522388
1.564254,1.0,0.07835820895522388
1.563024,0.9906542056074766,0.0791044776119403
1.561154,0.9907407407407407,0.07985074626865672
1.559675,0.9908256880733946,0.08059701492537313
1.558294,0.990909090909091,0.08134328358208955
1.555605,0.990990990990991,0.08208955223880597
1.554365,0.9910714285714286,0.08283582089552238
1.554121,0.9911504424778761,0.08358208955223881
1.553418,0.9912280701754386,0.08432835820895522
1.553279,0.991304347826087,0.08507462686567165
1.551334,0.9913793103448276,0.08582089552238806
1.5481,0.9914529914529915,0.08656716417910448
1.547772,0.9915254237288136,0.0873134328358209
1.546442,0.9915966386554622,0.0880597014925373
1.546215,0.9916666666666667,0.08880597014925373
1.546194,0.9917355371900827,0.08955223880597014
1.544975,0.9918032786885246,0.09029850746268657
1.544799,0.991869918699187,0.09104477611940298
1.544054,0.9919354838709677,0.09179104477611941
1.543506,0.992,0.09253731343283582
1.543372,0.9920634920634921,0.09328358208955224
1.543169,0.9921259842519685,0.09402985074626866
1.54299,0.9921875,0.09477611940298507
1.541581,0.9922480620155039,0.0955223880597015
1.539705,0.9923076923076923,0.0962686567164179
1.538834,0.9923664122137404,0.09701492537313433
1.537106,0.9924242424242424,0.09776119402985074
1.535222,0.9924812030075187,0.09850746268656717
1.534172,0.9925373134328358,0.09925373134328358
1.534102,0.9925925925925926,0.1
1.530151,0.9926470588235294,0.10074626865671642
1.528759,0.9927007299270073,0.10149253731343283
1.523845,0.9927536231884058,0.10223880597014925
1.522666,0.9928057553956835,0.10298507462686567
1.522164,0.9928571428571429,0.10373134328358209
1.521731,0.9929078014184397,0.1044776119402985
1.521306,0.9929577464788732,0.10522388059701493
1.518895,0.9861111111111112,0.10597014925373134
1.519522,0.993006993006993,0.10597014925373134
1.518531,0.9862068965517241,0.10671641791044777
1.515828,0.9863013698630136,0.10746268656716418
1.515043,0.9863945578231292,0.10820895522388059
1.514067,0.9864864864864865,0.10895522388059702
1.51392,0.9865771812080537,0.10970149253731343
1.513785,0.9866666666666667,0.11044776119402985
1.513782,0.9867549668874173,0.11119402985074626
1.512045,0.9868421052631579,0.11194029850746269
1.509653,0.9869281045751634,0.1126865671641791
1.509636,0.987012987012987,0.11343283582089553
1.509547,0.9870967741935484,0.11417910447761194
1.509025,0.9871794871794872,0.11492537313432835
1.508227,0.9872611464968153,0.11567164179104478
1.506047,0.9873417721518988,0.11641791044776119
1.505373,0.9874213836477987,0.11716417910447761
1.504729,0.9875,0.11791044776119403
1.504261,0.9875776397515528,0.11865671641791045
1.503927,0.9876543209876543,0.11940298507462686
1.501604,0.9877300613496932,0.12014925373134329
1.497456,0.9878048780487805,0.1208955223880597
1.495348,0.9878787878787879,0.12164179104477611
1.493072,0.9879518072289156,0.12238805970149254
1.487837,0.9880239520958084,0.12313432835820895
1.485366,0.9880952380952381,0.12388059701492538
1.480618,0.9881656804733728,0.12462686567164179
1.480604,0.9882352941176471,0.1253731343283582
1.479531,0.9883040935672515,0.12611940298507462
1.47878,0.9883720930232558,0.12686567164179105
1.478639,0.9884393063583815,0.12761194029850748
1.476631,0.9885057471264368,0.12835820895522387
1.476406,0.9885714285714285,0.1291044776119403
1.475056,0.9886363636363636,0.12985074626865672
1.474755,0.9887005649717514,0.13059701492537312
1.474648,0.9887640449438202,0.13134328358208955
1.473709,0.9888268156424581,0.13208955223880597
1.473497,0.9888888888888889,0.1328358208955224
1.473143,0.988950276243094,0.1335820895522388
1.471182,0.989010989010989,0.13432835820895522
1.470604,0.9890710382513661,0.13507462686567165
1.470122,0.9891304347826086,0.13582089552238805
1.46944,0.9891891891891892,0.13656716417910447
1.468378,0.989247311827957,0.1373134328358209
1.468041,0.9893048128342246,0.13805970149253732
1.467505,0.9893617021276596,0.13880597014925372
1.46747,0.9894179894179894,0.13955223880597015
1.463102,0.9894736842105263,0.14029850746268657
1.462735,0.9895287958115183,0.141044776119403
1.462438,0.9895833333333334,0.1417910447761194
1.461773,0.9896373056994818,0.14253731343283582
1.460958,0.9896907216494846,0.14328358208955225
1.458262,0.9897435897435898,0.14402985074626865
1.458131,0.9897959183673469,0.14477611940298507
1.458094,0.9898477157360406,0.1455223880597015
1.45805,0.98989898989899,0.14626865671641792
1.457708,0.9899497487437185,0.14701492537313432
1.457309,0.99,0.14776119402985075
1.455713,0.9900497512437811,0.14850746268656717
1.45456,0.9900990099009901,0.14925373134328357
1.45304,0.9901477832512315,0.15
1.452166,0.9901960784313726,0.15074626865671642
1.451235,0.9902439024390244,0.15149253731343285
1.449008,0.9902912621359223,0.15223880597014924
1.448986,0.9903381642512077,0.15298507462686567
1.448097,0.9903846153846154,0.1537313432835821
1.446969,0.9904306220095693,0.15447761194029852
1.445918,0.9904761904761905,0.15522388059701492
1.445054,0.990521327014218,0.15597014925373134
1.444997,0.9905660377358491,0.15671641791044777
1.443383,0.9906103286384976,0.15746268656716417
1.443182,0.9906542056074766,0.1582089552238806
1.442505,0.9906976744186047,0.15895522388059702
1.441947,0.9907407407407407,0.15970149253731344
1.441319,0.9907834101382489,0.16044776119402984
1.441207,0.9908256880733946,0.16119402985074627
1.44119,0.9908675799086758,0.1619402985074627
1.440287,0.990909090909091,0.1626865671641791
1.440243,0.9909502262443439,0.16343283582089552
1.439594,0.990990990990991,0.16417910447761194
1.438552,0.9910313901345291,0.16492537313432837
1.437762,0.9910714285714286,0.16567164179104477
1.436577,0.9911111111111112,0.1664179104477612
1.435786,0.9911504424778761,0.16716417910447762
1.434929,0.9911894273127754,0.16791044776119404
1.434113,0.9912280701754386,0.16865671641791044
1.430741,0.9912663755458515,0.16940298507462687
1.43027,0.991304347826087,0.1701492537313433
1.430113,0.9913419913419913,0.1708955223880597
1.427574,0.9871244635193133,0.17164179104477612
1.428694,0.9913793103448276,0.17164179104477612
1.426959,0.9871794871794872,0.17238805970149254
1.426159,0.9872340425531915,0.17313432835820897
1.42555,0.9872881355932204,0.17388059701492536
1.424823,0.9873417721518988,0.1746268656716418
1.42212,0.9873949579831933,0.17537313432835822
1.421294,0.9874476987447699,0.1761194029850746
1.420519,0.9875,0.17686567164179104
1.419206,0.9875518672199171,0.17761194029850746
1.418454,0.987603305785124,0.1783582089552239
1.417986,0.9876543209876543,0.1791044776119403
1.416342,0.9877049180327869,0.1798507462686567
1.416134,0.9877551020408163,0.18059701492537314
1.414581,0.9878048780487805,0.18134328358208956
1.411796,0.9799196787148594,0.18208955223880596
1.412991,0.9838709677419355,0.18208955223880596
1.413562,0.9878542510121457,0.18208955223880596
1.411793,0.98,0.1828358208955224
1.411037,0.9800796812749004,0.18358208955223881
1.41057,0.9801587301587301,0.1843283582089552
1.410464,0.9802371541501976,0.18507462686567164
1.409752,0.9803149606299213,0.18582089552238806
1.409347,0.9765625,0.1865671641791045
1.409464,0.9803921568627451,0.1865671641791045
1.408839,0.9766536964980544,0.1873134328358209
1.40591,0.9767441860465116,0.1880597014925373
1.404709,0.9768339768339769,0.18880597014925374
1.404378,0.9769230769230769,0.18955223880597014
1.403855,0.9770114942528736,0.19029850746268656
1.40367,0.9770992366412213,0.191044776119403
1.403636,0.9771863117870723,0.1917910447761194
1.403209,0.9772727272727273,0.1925373134328358
1.403014,0.9773584905660377,0.19328358208955224
1.402581,0.9774436090225563,0.19402985074626866
1.401536,0.9738805970149254,0.1947761194029851
1.402432,0.9775280898876404,0.1947761194029851
1.401057,0.9739776951672863,0.19552238805970149
1.4008,0.9740740740740741,0.1962686567164179
1.399988,0.974169741697417,0.19701492537313434
1.398397,0.9742647058823529,0.19776119402985073
1.398005,0.9743589743589743,0.19850746268656716
1.397749,0.9744525547445255,0.19925373134328359
1.397388,0.9710144927536232,0.2
1.397552,0.9745454545454545,0.2
1.39737,0.9711191335740073,0.2007462686567164
1.396282,0.967741935483871,0.20149253731343283
1.396463,0.9712230215827338,0.20149253731343283
1.392694,0.9678571428571429,0.20223880597014926
1.392038,0.9679715302491103,0.20298507462686566
1.391939,0.9680851063829787,0.20373134328358208
1.391034,0.9681978798586572,0.2044776119402985
1.390904,0.9683098591549296,0.20522388059701493
1.388685,0.965034965034965,0.20597014925373133
1.390412,0.968421052631579,0.20597014925373133
1.387917,0.9651567944250871,0.20671641791044776
1.387494,0.9652777777777778,0.20746268656716418
1.387404,0.9653979238754326,0.2082089552238806
1.384676,0.9655172413793104,0.208955223880597
1.384062,0.9656357388316151,0.20970149253731343
1.382343,0.9657534246575342,0.21044776119402986
1.382019,0.9658703071672355,0.21119402985074626
1.381624,0.9659863945578231,0.21194029850746268
1.379111,0.9661016949152542,0.2126865671641791
1.378769,0.9662162162162162,0.21343283582089553
1.37785,0.9663299663299664,0.21417910447761193
1.3773,0.9632107023411371,0.21492537313432836
1.377564,0.9664429530201343,0.21492537313432836
1.376774,0.9633333333333334,0.21567164179104478
1.375324,0.9634551495016611,0.21641791044776118
1.375283,0.9635761589403974,0.2171641791044776
1.37483,0.9636963696369637,0.21791044776119403
1.374595,0.9638157894736842,0.21865671641791046
1.37448,0.9639344262295082,0.21940298507462686
1.373872,0.9640522875816994,0.22014925373134328
1.3725,0.9641693811074918,0.2208955223880597
1.37224,0.9642857142857143,0.22164179104477613
1.37223,0.9644012944983819,0.22238805970149253
1.371906,0.964516129032258,0.22313432835820896
1.371617,0.9646302250803859,0.22388059701492538
1.371399,0.9647435897435898,0.22462686567164178
1.371018,0.9648562300319489,0.2253731343283582
1.370356,0.964968152866242,0.22611940298507463
1.367969,0.9650793650793651,0.22686567164179106
1.367646,0.9651898734177216,0.22761194029850745
1.36763,0.9652996845425867,0.22835820895522388
1.367341,0.9654088050314465,0.2291044776119403
1.366474,0.9655172413793104,0.2298507462686567
1.365262,0.965625,0.23059701492537313
1.364818,0.9657320872274143,0.23134328358208955
1.363935,0.9658385093167702,0.23208955223880598
1.363868,0.9659442724458205,0.23283582089552238
1.363128,0.9660493827160493,0.2335820895522388
1.362842,0.9661538461538461,0.23432835820895523
1.361636,0.9662576687116564,0.23507462686567165
1.361456,0.9663608562691132,0.23582089552238805
1.361058,0.9664634146341463,0.23656716417910448
1.360076,0.9665653495440729,0.2373134328358209
1.359787,0.9666666666666667,0.2380597014925373
1.358673,0.9667673716012085,0.23880597014925373
1.358506,0.9668674698795181,0.23955223880597015
1.358364,0.9669669669669669,0.24029850746268658
1.357119,0.9641791044776119,0.24104477611940298
1.357221,0.9670658682634731,0.24104477611940298
1.350922,0.9614243323442137,0.2417910447761194
1.356703,0.9642857142857143,0.2417910447761194
1.350561,0.9587020648967551,0.24253731343283583
1.35073,0.9615384615384616,0.24253731343283583
1.350485,0.9588235294117647,0.24328358208955222
1.349106,0.9589442815249267,0.24402985074626865
1.34869,0.9590643274853801,0.24477611940298508
1.348686,0.9591836734693877,0.2455223880597015
1.348629,0.9593023255813954,0.2462686567164179
1.348239,0.9594202898550724,0.24701492537313433
1.347106,0.9595375722543352,0.24776119402985075
1.346982,0.9596541786743515,0.24850746268656718
1.34627,0.9597701149425287,0.24925373134328357
1.346242,0.9598853868194842,0.25
1.34533,0.9545454545454546,0.2507462686567164
1.345489,0.9572649572649573,0.2507462686567164
1.346013,0.96,0.2507462686567164
1.345231,0.9546742209631728,0.25149253731343285
1.345109,0.9548022598870056,0.25223880597014925
1.343684,0.9549295774647887,0.25298507462686565
1.34339,0.9550561797752809,0.2537313432835821
1.343019,0.9551820728291317,0.2544776119402985
1.34248,0.9553072625698324,0.25522388059701495
1.342382,0.9554317548746518,0.25597014925373135
1.342273,0.9555555555555556,0.25671641791044775
1.342084,0.9556786703601108,0.2574626865671642
1.341774,0.9558011049723757,0.2582089552238806
1.34155,0.9559228650137741,0.258955223880597
1.340404,0.9560439560439561,0.25970149253731345
1.339912,0.953551912568306,0.26044776119402985
1.340018,0.9561643835616438,0.26044776119402985
1.338977,0.9536784741144414,0.26119402985074625
1.338534,0.9512195121951219,0.2619402985074627
1.338812,0.9538043478260869,0.2619402985074627
1.33811,0.9513513513513514,0.2626865671641791
1.337874,0.9514824797843666,0.26343283582089555
1.3374,0.9516129032258065,0.26417910447761195
1.337127,0.9517426273458445,0.26492537313432835
1.336566,0.9518716577540107,0.2656716417910448
1.336052,0.952,0.2664179104477612
1.335178,0.9521276595744681,0.2671641791044776
1.334561,0.9522546419098143,0.26791044776119405
1.333999,0.9523809523809523,0.26865671641791045
1.333746,0.9525065963060686,0.26940298507462684
1.333711,0.9526315789473684,0.2701492537313433
1.333363,0.952755905511811,0.2708955223880597
1.332742,0.9528795811518325,0.2716417910447761
1.332485,0.9530026109660574,0.27238805970149255
1.33219,0.953125,0.27313432835820894
1.331893,0.9532467532467532,0.2738805970149254
1.331587,0.9533678756476683,0.2746268656716418
1.330457,0.9534883720930233,0.2753731343283582
1.330399,0.9536082474226805,0.27611940298507465
1.330318,0.9537275064267352,0.27686567164179104
1.328771,0.9538461538461539,0.27761194029850744
1.327936,0.9539641943734015,0.2783582089552239
1.327768,0.9540816326530612,0.2791044776119403
1.327537,0.9541984732824428,0.2798507462686567
1.327204,0.9518987341772152,0.28059701492537314
1.327304,0.9543147208121827,0.28059701492537314
1.325567,0.952020202020202,0.28134328358208954
1.324747,0.9521410579345088,0.282089552238806
1.324168,0.9522613065326633,0.2828358208955224
1.324104,0.9523809523809523,0.2835820895522388
1.323006,0.9525,0.28432835820895525
1.322507,0.9526184538653366,0.28507462686567164
1.322451,0.9527363184079602,0.28582089552238804
1.322154,0.9528535980148883,0.2865671641791045
1.322011,0.9529702970297029,0.2873134328358209
1.321753,0.9530864197530864,0.2880597014925373
1.321246,0.9532019704433498,0.28880597014925374
1.320962,0.9533169533169533,0.28955223880597014
1.320424,0.9534313725490197,0.2902985074626866
1.320134,0.9535452322738386,0.291044776119403
1.319239,0.9536585365853658,0.2917910447761194
1.31895,0.9537712895377128,0.29253731343283584
1.318912,0.9538834951456311,0.29328358208955224
1.318633,0.9539951573849879,0.29402985074626864
1.317461,0.9541062801932367,0.2947761194029851
1.31728,0.9542168674698795,0.2955223880597015
1.316875,0.9543269230769231,0.2962686567164179
1.315838,0.9521531100478469,0.29701492537313434
