threshold,tpr,fpr
inf,0.0,0.0
2.009077,0.0007462686567164179,0.0
1.978348,0.0014925373134328358,0.0
1.940624,0.002238805970149254,0.0
1.915351,0.0029850746268656717,0.0
1.905506,0.0037313432835820895,0.0
1.882428,0.004477611940298508,0.0
1.864298,0.0052238805970149255,0.0
1.841303,0.005970149253731343,0.0
1.833441,0.006716417910447761,0.0
1.8171,0.007462686567164179,0.0
1.816674,0.008208955223880597,0.0
1.815625,0.008955223880597015,0.0
1.812773,0.009701492537313432,0.0
1.806228,0.010447761194029851,0.0
1.801771,0.011194029850746268,0.0
1.799968,0.011940298507462687,0.0
1.796334,0.012686567164179104,0.0
1.789431,0.013432835820895522,0.0
1.785265,0.014179104477611941,0.0
1.779834,0.014925373134328358,0.0
1.774002,0.015671641791044775,0.0
1.773866,0.016417910447761194,0.0
1.763484,0.017164179104477612,0.0
1.7479,0.01791044776119403,0.0
1.746255,0.018656716417910446,0.0
1.745635,0.019402985074626865,0.0
1.741785,0.020149253731343283,0.0
1.740653,0.020895522388059702,0.0
1.733184,0.02164179104477612,0.0
1.729555,0.022388059701492536,0.0
1.723591,0.023134328358208955,0.0
1.721781,0.023880597014925373,0.0
1.713381,0.024626865671641792,0.0
1.712467,0.025373134328358207,0.0
1.711356,0.026119402985074626,0.0
1.709466,0.026865671641791045,0.0
1.700791,0.027611940298507463,0.0
1.685357,0.028358208955223882,0.0
1.684298,0.029104477611940297,0.0
1.682626,0.029850746268656716,0.0
1.676912,0.030597014925373135,0.0
1.674059,0.03134328358208955,0.0
1.674041,0.03208955223880597,0.0
1.666897,0.03283582089552239,0.0
1.664406,0.033582089552238806,0.0
1.661348,0.034328358208955224,0.0
1.661085,0.03507462686567164,0.0
1.659773,0.03582089552238806,0.0
1.65662,0.03656716417910448,0.0
1.651009,0.03731343283582089,0.0
1.650963,0.03805970149253731,0.0
1.648997,0.03880597014925373,0.0
1.64829,0.03955223880597015,0.0
1.645775,0.04029850746268657,0.0
1.645636,0.041044776119402986,0.0
1.645466,0.041791044776119404,0.0
1.641113,0.04253731343283582,0.0
1.640582,0.04328358208955224,0.0
1.632984,0.04402985074626865,0.0
1.632357,0.04477611940298507,0.0
1.631249,0.04552238805970149,0.0
1.630137,0.04626865671641791,0.0
1.629287,0.04701492537313433,0.0
1.624332,0.04776119402985075,0.0
1.622422,0.048507462686567165,0.0
1.620655,0.049253731343283584,0.0
1.620399,0.05,0.0
1.619606,0.050746268656716415,0.0
1.618693,0.05149253731343283,0.0
1.618558,0.05223880597014925,0.0
1.615427,0.05298507462686567,0.0
1.614042,0.05373134328358209,0.0
1.612866,0.05447761194029851,0.0
1.611706,0.05522388059701493,0.0
1.606647,0.055970149253731345,0.0
1.604995,0.056716417910447764,0.0
1.604224,0.057462686567164176,0.0
1.604154,0.058208955223880594,0.0
1.601701,0.05895522388059701,0.0
1.601419,0.05970149253731343,0.0
1.600675,0.06044776119402985,0.0
1.600221,0.06119402985074627,0.0
1.599849,0.06194029850746269,0.0
1.593786,0.0626865671641791,0.0
1.593677,0.06343283582089553,0.0
1.592103,0.06417910447761194,0.0
1.591841,0.06492537313432836,0.0
1.587664,0.06567164179104477,0.0
1.586063,0.0664179104477612,0.0
1.581234,0.06716417910447761,0.0
1.581031,0.06791044776119402,0.0
1.580404,0.06865671641791045,0.0
1.578209,0.06940298507462686,0.0
1.57701,0.07014925373134329,0.0
1.575873,0.0708955223880597,0.0
1.575741,0.07164179104477612,0.0
1.573931,0.07238805970149254,0.0
1.570419,0.07313432835820896,0.0
1.570124,0.07388059701492537,0.0
1.569812,0.07462686567164178,0.0
1.567405,0.07537313432835821,0.0
1.566436,0.07611940298507462,0.0
1.565323,0.07686567164179105,0.0
1.564647,0.07761194029850746,0.0
1.564254,0.07835820895522388,0.0
1.563859,0.07835820895522388,0.00029394473838918284
1.563024,0.0791044776119403,0.00029394473838918284
1.561154,0.07985074626865672,0.00029394473838918284
1.559675,0.08059701492537313,0.00029394473838918284
1.558294,0.08134328358208955,0.00029394473838918284
1.555605,0.08208955223880597,0.00029394473838918284
1.554365,0.08283582089552238,0.00029394473838918284
1.554121,0.08358208955223881,0.00029394473838918284
1.553418,0.08432835820895522,0.00029394473838918284
1.553279,0.08507462686567165,0.00029394473838918284
1.551334,0.08582089552238806,0.00029394473838918284
1.5481,0.08656716417910448,0.00029394473838918284
1.547772,0.0873134328358209,0.00029394473838918284
1.546442,0.0880597014925373,0.00029394473838918284
1.546215,0.08880597014925373,0.00029394473838918284
1.546194,0.08955223880597014,0.00029394473838918284
1.544975,0.09029850746268657,0.00029394473838918284
1.544799,0.09104477611940298,0.00029394473838918284
1.544054,0.09179104477611941,0.00029394473838918284
1.543506,0.09253731343283582,0.00029394473838918284
1.543372,0.09328358208955224,0.00029394473838918284
1.543169,0.09402985074626866,0.00029394473838918284
1.54299,0.09477611940298507,0.00029394473838918284
1.541581,0.0955223880597015,0.00029394473838918284
1.539705,0.0962686567164179,0.00029394473838918284
1.538834,0.09701492537313433,0.00029394473838918284
1.537106,0.09776119402985074,0.00029394473838918284
1.535222,0.09850746268656717,0.00029394473838918284
1.534172,0.09925373134328358,0.00029394473838918284
1.534102,0.1,0.00029394473838918284
1.530151,0.10074626865671642,0.00029394473838918284
1.528759,0.10149253731343283,0.00029394473838918284
1.523845,0.10223880597014925,0.00029394473838918284
1.522666,0.10298507462686567,0.00029394473838918284
1.522164,0.10373134328358209,0.00029394473838918284
1.521731,0.1044776119402985,0.00029394473838918284
1.521306,0.10522388059701493,0.00029394473838918284
1.519522,0.10597014925373134,0.00029394473838918284
1.518895,0.10597014925373134,0.0005878894767783657
1.518531,0.10671641791044777,0.0005878894767783657
1.515828,0.10746268656716418,0.0005878894767783657
