threshold,tpr,fpr
inf,0.0,0.0
1.903427,0.0017035775127768314,0.0
1.869003,0.0034071550255536627,0.0
1.846922,0.005110732538330494,0.0
1.832333,0.0068143100511073255,0.0
1.794394,0.008517887563884156,0.0
1.749475,0.010221465076660987,0.0
1.729638,0.01192504258943782,0.0
1.729257,0.013628620102214651,0.0
1.715821,0.015332197614991482,0.0
1.675831,0.017035775127768313,0.0
1.674645,0.018739352640545145,0.0
1.671302,0.020442930153321975,0.0
1.661583,0.022146507666098807,0.0
1.659545,0.02385008517887564,0.0
1.657904,0.02555366269165247,0.0
1.626861,0.027257240204429302,0.0
1.623849,0.028960817717206135,0.0
1.614758,0.030664395229982964,0.0
1.608071,0.03236797274275979,0.0
1.606576,0.034071550255536626,0.0
1.601694,0.03577512776831346,0.0
1.601193,0.03747870528109029,0.0
1.597347,0.039182282793867124,0.0
1.589163,0.04088586030664395,0.0
1.589017,0.04258943781942078,0.0
1.584986,0.044293015332197615,0.0
1.57662,0.04599659284497445,0.0
1.563626,0.04770017035775128,0.0
1.559738,0.049403747870528106,0.0
1.559484,0.05110732538330494,0.0
1.558972,0.05281090289608177,0.0
1.555987,0.054514480408858604,0.0
1.552766,0.054514480408858604,0.0002575328354365182
1.550242,0.056218057921635436,0.0002575328354365182
1.543241,0.05792163543441227,0.0002575328354365182
1.540924,0.059625212947189095,0.0002575328354365182
1.54014,0.06132879045996593,0.0002575328354365182
1.539818,0.06303236797274275,0.0002575328354365182
1.533638,0.06473594548551959,0.0002575328354365182
1.529733,0.06643952299829642,0.0002575328354365182
1.52488,0.06643952299829642,0.0005150656708730364
1.518751,0.06814310051107325,0.0005150656708730364
1.513206,0.06984667802385008,0.0005150656708730364
1.504832,0.07155025553662692,0.0005150656708730364
1.50221,0.07325383304940375,0.0005150656708730364
1.501149,0.07495741056218058,0.0005150656708730364
1.500413,0.07666098807495741,0.0005150656708730364
1.496903,0.07836456558773425,0.0005150656708730364
1.495655,0.08006814310051108,0.0005150656708730364
1.492045,0.0817717206132879,0.0005150656708730364
1.491119,0.08347529812606473,0.0005150656708730364
1.490864,0.08517887563884156,0.0005150656708730364
1.486188,0.08517887563884156,0.0007725985063095545
1.484878,0.0868824531516184,0.0007725985063095545
1.481199,0.08858603066439523,0.0007725985063095545
1.480627,0.09028960817717206,0.0007725985063095545
1.480517,0.0919931856899489,0.0007725985063095545
1.473396,0.09369676320272573,0.0007725985063095545
1.472769,0.09540034071550256,0.0007725985063095545
1.472268,0.09540034071550256,0.0010301313417460727
1.471675,0.09710391822827939,0.0010301313417460727
1.470812,0.09880749574105621,0.0010301313417460727
1.470743,0.10051107325383304,0.0010301313417460727
1.469925,0.10221465076660988,0.0010301313417460727
1.466159,0.10391822827938671,0.0010301313417460727
1.463521,0.10562180579216354,0.0010301313417460727
1.46336,0.10732538330494037,0.0010301313417460727
1.463179,0.10902896081771721,0.0010301313417460727
1.460418,0.11073253833049404,0.0010301313417460727
1.458424,0.11243611584327087,0.0010301313417460727
1.457746,0.1141396933560477,0.0010301313417460727
1.456539,0.11584327086882454,0.0010301313417460727
1.455569,0.11754684838160136,0.0010301313417460727
1.45386,0.11925042589437819,0.0010301313417460727
1.451242,0.12095400340715502,0.0010301313417460727
1.450161,0.12265758091993186,0.0010301313417460727
1.448855,0.12436115843270869,0.0010301313417460727
1.445019,0.1260647359454855,0.0010301313417460727
1.437666,0.12776831345826234,0.0010301313417460727
1.435131,0.12947189097103917,0.0010301313417460727
1.432473,0.131175468483816,0.0010301313417460727
1.430936,0.13287904599659284,0.0010301313417460727
1.430517,0.13458262350936967,0.0010301313417460727
1.429834,0.1362862010221465,0.0010301313417460727
1.428762,0.13798977853492334,0.0010301313417460727
1.428099,0.13969335604770017,0.0010301313417460727
1.427145,0.141396933560477,0.0010301313417460727
1.42705,0.14310051107325383,0.0010301313417460727
1.42307,0.14480408858603067,0.0010301313417460727
1.422803,0.1465076660988075,0.0010301313417460727
1.420307,0.1465076660988075,0.0012876641771825909
1.419858,0.14821124361158433,0.0012876641771825909
1.416489,0.14991482112436116,0.0012876641771825909
1.416029,0.151618398637138,0.0012876641771825909
1.414486,0.15332197614991483,0.0012876641771825909
1.414073,0.15502555366269166,0.0012876641771825909
1.412817,0.1567291311754685,0.0012876641771825909
1.410963,0.15843270868824533,0.0012876641771825909
1.41041,0.16013628620102216,0.0012876641771825909
1.410192,0.16183986371379896,0.0012876641771825909
1.408108,0.1635434412265758,0.0012876641771825909
1.40618,0.16524701873935263,0.0012876641771825909
1.405517,0.16695059625212946,0.0012876641771825909
1.405339,0.1686541737649063,0.0012876641771825909
1.403979,0.17035775127768313,0.0012876641771825909
1.402167,0.17035775127768313,0.001545197012619109
1.401496,0.17035775127768313,0.0018027298480556271
1.400843,0.17206132879045996,0.0018027298480556271
1.400526,0.17206132879045996,0.0020602626834921455
1.400317,0.1737649063032368,0.0020602626834921455
1.399335,0.17546848381601363,0.0020602626834921455
1.398514,0.17717206132879046,0.0020602626834921455
1.397458,0.1788756388415673,0.0020602626834921455
1.393458,0.18057921635434412,0.0020602626834921455
1.393259,0.18228279386712096,0.0020602626834921455
1.392828,0.1839863713798978,0.0020602626834921455
1.390567,0.18568994889267462,0.0020602626834921455
1.38652,0.18739352640545145,0.0020602626834921455
1.381952,0.1890971039182283,0.0020602626834921455
1.380325,0.19080068143100512,0.0020602626834921455
1.379734,0.19250425894378195,0.0020602626834921455
1.379533,0.19420783645655879,0.0020602626834921455
1.378486,0.19591141396933562,0.0020602626834921455
1.376875,0.19761499148211242,0.0020602626834921455
1.375318,0.19931856899488926,0.0020602626834921455
1.372354,0.2010221465076661,0.0020602626834921455
1.371326,0.20272572402044292,0.0020602626834921455
1.370242,0.20442930153321975,0.0020602626834921455
1.36904,0.2061328790459966,0.0020602626834921455
1.368635,0.20783645655877342,0.0020602626834921455
1.367712,0.20954003407155025,0.0020602626834921455
1.364863,0.21124361158432708,0.0020602626834921455
1.362605,0.21294718909710392,0.0020602626834921455
1.358693,0.21465076660988075,0.0020602626834921455
1.358146,0.21635434412265758,0.0020602626834921455
1.356188,0.21805792163543442,0.0020602626834921455
1.354556,0.21976149914821125,0.0020602626834921455
1.354285,0.21976149914821125,0.0023177955189286636
1.353757,0.22146507666098808,0.0023177955189286636
1.352558,0.2231686541737649,0.0023177955189286636
1.352337,0.22487223168654175,0.0023177955189286636
1.351591,0.22657580919931858,0.0023177955189286636
1.351126,0.2282793867120954,0.0023177955189286636
1.347158,0.22998296422487224,0.0023177955189286636
1.346988,0.23168654173764908,0.0023177955189286636
1.34484,0.23339011925042588,0.0023177955189286636
1.344732,0.23509369676320271,0.0023177955189286636
1.344031,0.23679727427597955,0.0023177955189286636
1.343228,0.23850085178875638,0.0023177955189286636
1.337028,0.23850085178875638,0.0025753283543651817
1.336619,0.2402044293015332,0.0025753283543651817
1.336322,0.2402044293015332,0.0028328611898017
1.336249,0.24190800681431004,0.0028328611898017
1.332345,0.24361158432708688,0.0028328611898017
1.331714,0.2453151618398637,0.0028328611898017
1.330636,0.24701873935264054,0.0028328611898017
1.329175,0.24701873935264054,0.003090394025238218
1.328966,0.24872231686541738,0.003090394025238218
1.328442,0.2504258943781942,0.003090394025238218
1.328433,0.252129471890971,0.003090394025238218
1.328363,0.252129471890971,0.003347926860674736
1.32704,0.252129471890971,0.0036054596961112542
