Jour,ID_Composant,Type_Evenement,Niveau_Usure,Cout_Associe
30,COMP-025,INSPECTION_RAS,4.68,0
30,COMP-026,INSPECTION_RAS,4.63,0
30,COMP-027,MAINT_PREVENTIVE,4.96,400
30,COMP-028,INSPECTION_RAS,4.86,0
30,COMP-029,INSPECTION_RAS,4.81,0
30,COMP-030,INSPECTION_RAS,4.68,0
30,COMP-031,INSPECTION_RAS,4.75,0
30,COMP-032,INSPECTION_RAS,4.85,0
30,COMP-033,INSPECTION_RAS,2.88,0
30,COMP-034,INSPECTION_RAS,4.97,0
30,COMP-035,INSPECTION_RAS,4.77,0
30,COMP-036,INSPECTION_RAS,5.05,0
30,COMP-037,INSPECTION_RAS,4.92,0
30,COMP-038,INSPECTION_RAS,4.82,0
30,COMP-039,INSPECTION_RAS,4.82,0
30,COMP-040,INSPECTION_RAS,4.82,0
30,COMP-041,INSPECTION_RAS,4.89,0
30,COMP-042,INSPECTION_RAS,4.72,0
30,COMP-043,INSPECTION_RAS,4.77,0
30,COMP-044,INSPECTION_RAS,4.93,0
30,COMP-045,INSPECTION_RAS,4.6,0
30,COMP-046,INSPECTION_RAS,4.71,0
30,COMP-047,INSPECTION_RAS,4.45,0
30,COMP-048,INSPECTION_RAS,4.8,0
30,COMP-049,INSPECTION_RAS,4.93,0
30,COMP-050,INSPECTION_RAS,5.14,0
30,COMP-051,INSPECTION_RAS,5.14,0
30,COMP-052,INSPECTION_RAS,4.8,0
30,COMP-053,INSPECTION_RAS,4.82,0
30,COMP-054,INSPECTION_RAS,4.59,0
30,COMP-055,INSPECTION_RAS,4.74,0
30,COMP-056,INSPECTION_RAS,4.8,0
30,COMP-057,INSPECTION_RAS,5.01,0
30,COMP-058,INSPECTION_RAS,4.57,0
30,COMP-059,INSPECTION_RAS,4.93,0
30,COMP-060,INSPECTION_RAS,4.64,0
30,COMP-061,INSPECTION_RAS,5.07,0
30,COMP-062,INSPECTION_RAS,4.98,0
30,COMP-063,INSPECTION_RAS,4.77,0
30,COMP-064,INSPECTION_RAS,4.87,0
30,COMP-065,INSPECTION_RAS,4.59,0
30,COMP-066,INSPECTION_RAS,4.71,0
30,COMP-067,INSPECTION_RAS,2.69,0
30,COMP-068,INSPECTION_RAS,4.93,0
30,COMP-069,INSPECTION_RAS,2.92,0
30,COMP-070,INSPECTION_RAS,4.92,0
30,COMP-071,INSPECTION_RAS,4.99,0
30,COMP-072,INSPECTION_RAS,4.84,0
30,COMP-073,INSPECTION_RAS,4.84,0
30,COMP-074,INSPECTION_RAS,4.91,0
30,COMP-075,INSPECTION_RAS,4.89,0
30,COMP-076,INSPECTION_RAS,4.86,0
30,COMP-077,INSPECTION_RAS,4.81,0
30,COMP-078,INSPECTION_RAS,4.69,0
30,COMP-079,INSPECTION_RAS,4.96,0
30,COMP-080,INSPECTION_RAS,4.92,0
30,COMP-081,INSPECTION_RAS,4.76,0
30,COMP-082,INSPECTION_RAS,4.71,0
30,COMP-083,INSPECTION_RAS,4.73,0
30,COMP-084,INSPECTION_RAS,4.52,0
30,COMP-085,INSPECTION_RAS,4.85,0
30,COMP-086,INSPECTION_RAS,4.71,0
30,COMP-087,INSPECTION_RAS,4.68,0
30,COMP-088,INSPECTION_RAS,4.96,0
30,COMP-089,MAINT_PREVENTIVE,4.79,400
30,COMP-090,INSPECTION_RAS,4.74,0
30,COMP-091,INSPECTION_RAS,4.64,0
30,COMP-092,MAINT_PREVENTIVE,4.91,400
30,COMP-093,INSPECTION_RAS,4.96,0
30,COMP-094,INSPECTION_RAS,4.53,0
30,COMP-095,INSPECTION_RAS,4.63,0
30,COMP-096,INSPECTION_RAS,4.91,0
30,COMP-097,INSPECTION_RAS,5.03,0
30,COMP-098,INSPECTION_RAS,4.78,0
30,COMP-099,INSPECTION_RAS,4.78,0
45,COMP-000,INSPECTION_RAS,7.47,0
45,COMP-001,INSPECTION_RAS,7.04,0
45,COMP-002,INSPECTION_RAS,7.37,0
45,COMP-003,INSPECTION_RAS,7.12,0
45,COMP-004,INSPECTION_RAS,6.91,0
45,COMP-005,INSPECTION_RAS,7.29,0
45,COMP-006,MAINT_PREVENTIVE,7.12,400
45,COMP-007,INSPECTION_RAS,7.22,0
45,COMP-008,INSPECTION_RAS,7.18,0
45,COMP-009,INSPECTION_RAS,7.03,0
45,COMP-010,MAINT_PREVENTIVE,7.34,400
45,COMP-011,INSPECTION_RAS,5.38,0
45,COMP-012,INSPECTION_RAS,7.26,0
45,COMP-013,INSPECTION_RAS,7.2,0
45,COMP-014,INSPECTION_RAS,7.26,0
45,COMP-015,INSPECTION_RAS,6.87,0
45,COMP-016,INSPECTION_RAS,7.08,0
45,COMP-017,INSPECTION_RAS,7.22,0
45,COMP-018,INSPECTION_RAS,7.33,0
45,COMP-019,INSPECTION_RAS,7.43,0
45,COMP-020,MAINT_PREVENTIVE,3.3,400
45,COMP-021,INSPECTION_RAS,7.12,0
45,COMP-022,INSPECTION_RAS,7.01,0
45,COMP-023,INSPECTION_RAS,7.15,0
45,COMP-024,INSPECTION_RAS,7.15,0
45,COMP-025,INSPECTION_RAS,7.11,0
45,COMP-026,INSPECTION_RAS,7.13,0
45,COMP-027,INSPECTION_RAS,3.49,0
45,COMP-028,INSPECTION_RAS,7.21,0
45,COMP-029,INSPECTION_RAS,7.26,0
45,COMP-030,INSPECTION_RAS,7.18,0
45,COMP-031,INSPECTION_RAS,7.01,0
45,COMP-032,INSPECTION_RAS,7.51,0
45,COMP-033,INSPECTION_RAS,5.44,0
45,COMP-034,INSPECTION_RAS,7.54,0
45,COMP-035,INSPECTION_RAS,7.11,0
45,COMP-036,INSPECTION_RAS,7.58,0
45,COMP-037,INSPECTION_RAS,7.26,0
45,COMP-038,INSPECTION_RAS,7.31,0
45,COMP-039,INSPECTION_RAS,7.27,0
45,COMP-040,INSPECTION_RAS,7.18,0
45,COMP-041,INSPECTION_RAS,7.18,0
45,COMP-042,INSPECTION_RAS,7.13,0
45,COMP-043,INSPECTION_RAS,7.24,0
45,COMP-044,INSPECTION_RAS,7.48,0
45,COMP-045,INSPECTION_RAS,7.04,0
45,COMP-046,INSPECTION_RAS,7.18,0
45,COMP-047,INSPECTION_RAS,6.81,0
45,COMP-048,INSPECTION_RAS,7.35,0
45,COMP-049,INSPECTION_RAS,7.29,0
45,COMP-050,INSPECTION_RAS,7.6,0
45,COMP-051,INSPECTION_RAS,7.45,0
45,COMP-052,INSPECTION_RAS,7.18,0
45,COMP-053,INSPECTION_RAS,7.21,0
45,COMP-054,INSPECTION_RAS,6.99,0
45,COMP-055,INSPECTION_RAS,7.15,0
45,COMP-056,INSPECTION_RAS,7.24,0
45,COMP-057,INSPECTION_RAS,7.46,0
45,COMP-058,INSPECTION_RAS,7.02,0
45,COMP-059,INSPECTION_RAS,7.38,0
45,COMP-060,INSPECTION_RAS,6.99,0
45,COMP-061,INSPECTION_RAS,7.31,0
45,COMP-062,INSPECTION_RAS,7.22,0
45,COMP-063,INSPECTION_RAS,7.14,0
45,COMP-064,INSPECTION_RAS,7.21,0
45,COMP-065,INSPECTION_RAS,7.1,0
45,COMP-066,INSPECTION_RAS,7.23,0
45,COMP-067,INSPECTION_RAS,5.01,0
45,COMP-068,INSPECTION_RAS,7.38,0
45,COMP-069,INSPECTION_RAS,5.4,0
45,COMP-070,INSPECTION_RAS,7.26,0
45,COMP-071,INSPECTION_RAS,7.34,0
45,COMP-072,INSPECTION_RAS,7.19,0
45,COMP-073,INSPECTION_RAS,7.23,0
45,COMP-074,INSPECTION_RAS,7.14,0
45,COMP-075,INSPECTION_RAS,7.14,0
45,COMP-076,INSPECTION_RAS,7.25,0
45,COMP-077,INSPECTION_RAS,7.13,0
45,COMP-078,INSPECTION_RAS,7.27,0
45,COMP-079,INSPECTION_RAS,7.33,0
45,COMP-080,INSPECTION_RAS,7.35,0
45,COMP-081,INSPECTION_RAS,7.24,0
45,COMP-082,INSPECTION_RAS,7.18,0
45,COMP-083,INSPECTION_RAS,7.25,0
45,COMP-084,INSPECTION_RAS,6.98,0
45,COMP-085,INSPECTION_RAS,7.15,0
45,COMP-086,INSPECTION_RAS,6.97,0
45,COMP-087,INSPECTION_RAS,7.13,0
45,COMP-088,INSPECTION_RAS,7.28,0
45,COMP-089,INSPECTION_RAS,3.12,0
45,COMP-090,INSPECTION_RAS,7.14,0
45,COMP-091,INSPECTION_RAS,7.0,0
45,COMP-092,INSPECTION_RAS,3.34,0
45,COMP-093,INSPECTION_RAS,7.2,0
45,COMP-094,MAINT_PREVENTIVE,6.88,400
45,COMP-095,INSPECTION_RAS,6.93,0
45,COMP-096,INSPECTION_RAS,7.31,0
45,COMP-097,INSPECTION_RAS,7.41,0
45,COMP-098,INSPECTION_RAS,6.86,0
45,COMP-099,INSPECTION_RAS,7.14,0
60,COMP-000,INSPECTION_RAS,9.91,0
60,COMP-001,INSPECTION_RAS,9.42,0
60,COMP-002,INSPECTION_RAS,9.77,0
60,COMP-003,INSPECTION_RAS,9.36,0
60,COMP-004,INSPECTION_RAS,9.31,0
60,COMP-005,INSPECTION_RAS,9.62,0
60,COMP-006,INSPECTION_RAS,3.86,0
60,COMP-007,INSPECTION_RAS,9.45,0
60,COMP-008,INSPECTION_RAS,9.43,0
60,COMP-009,INSPECTION_RAS,9.42,0
60,COMP-010,INSPECTION_RAS,3.91,0
60,COMP-011,INSPECTION_RAS,7.7,0
60,COMP-012,INSPECTION_RAS,9.78,0
60,COMP-013,INSPECTION_RAS,9.48,0
60,COMP-014,INSPECTION_RAS,9.51,0
60,COMP-015,INSPECTION_RAS,9.4,0
60,COMP-016,INSPECTION_RAS,9.42,0
60,COMP-017,INSPECTION_RAS,9.84,0
60,COMP-018,INSPECTION_RAS,9.9,0
60,COMP-019,INSPECTION_RAS,9.8,0
60,COMP-020,INSPECTION_RAS,3.11,0
60,COMP-021,INSPECTION_RAS,9.59,0
60,COMP-022,INSPECTION_RAS,9.41,0
60,COMP-023,INSPECTION_RAS,9.45,0
60,COMP-024,INSPECTION_RAS,9.66,0
60,COMP-025,INSPECTION_RAS,9.61,0
60,COMP-026,INSPECTION_RAS,9.59,0
60,COMP-027,INSPECTION_RAS,5.89,0
60,COMP-028,INSPECTION_RAS,9.54,0
60,COMP-029,INSPECTION_RAS,9.71,0
60,COMP-030,INSPECTION_RAS,9.7,0
60,COMP-031,INSPECTION_RAS,9.52,0
60,COMP-032,INSPECTION_RAS,9.83,0
60,COMP-033,MAINT_PREVENTIVE,7.82,400
60,COMP-034,INSPECTION_RAS,9.91,0
60,COMP-035,INSPECTION_RAS,9.51,0
60,COMP-036,INSPECTION_RAS,10.13,0
60,COMP-037,INSPECTION_RAS,9.44,0
60,COMP-038,INSPECTION_RAS,9.66,0
60,COMP-039,INSPECTION_RAS,9.76,0
60,COMP-040,INSPECTION_RAS,9.75,0
60,COMP-041,INSPECTION_RAS,9.57,0
60,COMP-042,INSPECTION_RAS,9.66,0
60,COMP-043,INSPECTION_RAS,9.68,0
60,COMP-044,INSPECTION_RAS,9.78,0
60,COMP-045,INSPECTION_RAS,9.64,0
60,COMP-046,MAINT_PREVENTIVE,9.63,400
60,COMP-047,MAINT_PREVENTIVE,9.12,400
60,COMP-048,INSPECTION_RAS,9.7,0
60,COMP-049,INSPECTION_RAS,9.78,0
60,COMP-050,INSPECTION_RAS,9.96,0
60,COMP-051,INSPECTION_RAS,9.94,0
60,COMP-052,INSPECTION_RAS,9.68,0
60,COMP-053,INSPECTION_RAS,9.56,0
60,COMP-054,INSPECTION_RAS,9.56,0
